Constituency,W_PARTY,W_Votes,L_PARTY,L_Votes,V_Margin
Thiyagarayanagar,DMK,56035,AIADMK,55898,137
Modakkurichi,BJP,78125,DMK,77844,281
Tenkasi,INC,89315,AIADMK,88945,370
Mettur,PMK,97055,DMK,96399,656
Katpadi,DMK,85140,AIADMK,84394,746
Krishnagiri,AIADMK,96050,DMK,95256,794
Vriddhachalam,INC,77064,PMK,76202,862
Neyveli,DMK,75177,PMK,74200,977
Jolarpet,DMK,89490,AIADMK,88399,1091
Kinathukadavu,AIADMK,101537,DMK,100442,1095
Anthiyur,DMK,79096,AIADMK,77821,1275
Thirumayam,DMK,71349,AIADMK,69967,1382
Dharapuram,DMK,89986,BJP,88593,1393
Uthiramerur,DMK,93427,AIADMK,91805,1622
Pollachi,AIADMK,80567,DMK,78842,1725
Coimbatore (South),BJP,53209,MNM,51481,1728
Gudalur,AIADMK,64496,DMK,62551,1945
Thiruporur,VCK,93954,PMK,92007,1947
Rasipuram,DMK,90727,AIADMK,88775,1952
Mailam,PMK,81044,DMK,78814,2230
Vasudevanallur,DMK,68730,AIADMK,66363,2367
Mettuppalayam,AIADMK,105231,DMK,102775,2456
Mayiladuthurai,INC,73642,PMK,70900,2742
Tiruchengodu,DMK,81688,AIADMK,78826,2862
Veppanahalli,AIADMK,94104,DMK,91050,3054
Arani,AIADMK,102961,DMK,99833,3128
Ariyalur,DMK,103975,AIADMK,100741,3234
Poompuhar,DMK,96102,AIADMK,92803,3299
Alangulam,AIADMK,74153,DMK,70614,3539
Madurantakam,AIADMK,86646,DMK,83076,3570
Rajapalayam,DMK,74158,AIADMK,70260,3898
Coimbatore (North),AIADMK,81454,DMK,77453,4001
Cheyyur,VCK,82750,AIADMK,78708,4042
Coonoor,DMK,61820,AIADMK,57715,4105
Velachery,INC,68493,AIADMK,64141,4352
Nannilam,AIADMK,103637,DMK,99213,4424
Panruti,DMK,93801,AIADMK,89104,4697
Tiruppur (South),DMK,75535,AIADMK,70826,4709
Vaniyambadi,AIADMK,88018,IUML,83114,4904
Cuddalore,DMK,84563,AIADMK,79412,5151
Ulundurpettai,DMK,115451,AIADMK,110195,5256
Sankarankovil,DMK,71347,AIADMK,66050,5297
Udhagamandalam,INC,65530,BJP,60182,5348
Jayankondam,DMK,99529,PMK,94077,5452
Radhapuram,DMK,82331,AIADMK,76406,5925
Kunnam,DMK,103922,AIADMK,97593,6329
Anaikattu,DMK,95159,AIADMK,88799,6360
Madathukulam,AIADMK,84313,DMK,77875,6438
Madurai South,DMK,62812,AIADMK,56297,6515
Gudiyattam,DMK,100412,AIADMK,93511,6901
Nagapattinam,VCK,66281,AIADMK,59043,7238
Kangayam,DMK,94197,AIADMK,86866,7331
Gangavalli,AIADMK,89568,DMK,82207,7361
Usilampatti,AIADMK,71255,DMK,63778,7477
Salem (North),DMK,93432,AIADMK,85844,7588
Paramathi-Velur,AIADMK,86034,DMK,78372,7662
Attur,AIADMK,95308,DMK,87051,8257
Bhuvanagiri,AIADMK,96453,DMK,88194,8259
Ottapidaram,DMK,73110,AIADMK,64600,8510
Andipatti,DMK,93541,AIADMK,85003,8538
Erode (East),INC,67300,AIADMK,58396,8904
Madurai West,AIADMK,83883,DMK,74762,9121
Vellore,DMK,84299,AIADMK,75118,9181
Kalasapakkam,DMK,94134,AIADMK,84912,9222
Vikravandi,DMK,93730,AIADMK,84157,9573
Ponneri,INC,94528,AIADMK,84839,9689
Polur,AIADMK,97732,DMK,88007,9725
Tindivanam,AIADMK,87152,DMK,77399,9753
Kavundampalayam,AIADMK,135669,DMK,125893,9776
Senthamangalam,DMK,90681,AIADMK,80188,10493
Kattumannarkoil,VCK,86056,AIADMK,75491,10565
Kilvaithinankuppam,AIADMK,84579,DMK,73997,10582
Thiruvidaimarudur,DMK,95763,AIADMK,85083,10680
Singanallur,AIADMK,81244,DMK,70390,10854
Sriperumbudur,INC,115353,AIADMK,104474,10879
Bodinayakanur,AIADMK,100050,DMK,89029,11021
Sattur,DMK,74174,AIADMK,62995,11179
Sivaganga,AIADMK,82153,CPI,70900,11253
Chengam,DMK,108081,AIADMK,96511,11570
Kancheepuram,DMK,102712,PMK,91117,11595
Nagercoil,BJP,88804,DMK,77135,11669
Natham,AIADMK,107762,DMK,95830,11932
Sirkazhi,DMK,94057,AIADMK,81909,12148
Valparai,AIADMK,71672,CPI,59449,12223
